Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of BMP signaling pathway (GO:0030510)	1/76	1.281871e-01	1.968275e-01	0	0	7.576762e+00	1.556467e+01	CDH5
GO_Biological_Process_2021	protein import into nucleus (GO:0006606)	1/76	1.281871e-01	1.968275e-01	0	0	7.576762e+00	1.556467e+01	APPL1
GO_Biological_Process_2021	import into nucleus (GO:0051170)	1/77	1.297624e-01	1.968275e-01	0	0	7.476692e+00	1.526778e+01	APPL1
GO_Biological_Process_2021	inorganic cation import across plasma membrane (GO:0098659)	1/77	1.297624e-01	1.968275e-01	0	0	7.476692e+00	1.526778e+01	KCNJ8
GO_Biological_Process_2021	positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	1/77	1.297624e-01	1.968275e-01	0	0	7.476692e+00	1.526778e+01	LRRK2
GO_Biological_Process_2021	positive regulation of type I interferon production (GO:0032481)	1/77	1.297624e-01	1.968275e-01	0	0	7.476692e+00	1.526778e+01	LRRFIP1
GO_Biological_Process_2021	supramolecular fiber organization (GO:0097435)	2/351	1.312485e-01	1.968275e-01	0	0	3.306085e+00	6.713543e+00	LAMA3;DPT
GO_Biological_Process_2021	negative regulation of apoptotic signaling pathway (GO:2001234)	1/78	1.313349e-01	1.968275e-01	0	0	7.379221e+00	1.497986e+01	NR4A2
GO_Biological_Process_2021	negative regulation of blood vessel morphogenesis (GO:2000181)	1/78	1.313349e-01	1.968275e-01	0	0	7.379221e+00	1.497986e+01	THBS2
GO_Biological_Process_2021	positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	1/79	1.329046e-01	1.968275e-01	0	0	7.284249e+00	1.470052e+01	LRRK2
GO_Biological_Process_2021	regulation of ion transport (GO:0043269)	1/79	1.329046e-01	1.968275e-01	0	0	7.284249e+00	1.470052e+01	KCNJ8
GO_Biological_Process_2021	positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	1/79	1.329046e-01	1.968275e-01	0	0	7.284249e+00	1.470052e+01	LRRK2
GO_Biological_Process_2021	regulation of neuron differentiation (GO:0045664)	1/79	1.329046e-01	1.968275e-01	0	0	7.284249e+00	1.470052e+01	LRRK2
GO_Biological_Process_2021	regulation of protein localization to plasma membrane (GO:1903076)	1/80	1.344715e-01	1.984614e-01	0	0	7.191682e+00	1.442941e+01	APPL1
GO_Biological_Process_2021	negative regulation of protein modification process (GO:0031400)	1/81	1.360357e-01	2.000800e-01	0	0	7.101429e+00	1.416620e+01	LRRK2
GO_Biological_Process_2021	cell-cell junction organization (GO:0045216)	1/82	1.375972e-01	2.003116e-01	0	0	7.013404e+00	1.391056e+01	CDH5
